id,name,category,scope,region_code,region_name,required_official_roles,source_url,source_domain,normal_frequency,active_frequency,discovery_status,last_verified_at,automation_allowed,notes
national-civil-service-official,国家公务员考试官方来源档案,NATIONAL_CIVIL_SERVICE,NATIONAL,,全国,国家公务员局/中央机关招录公告、职位表、报名与考试专题页,https://www.scs.gov.cn/,www.scs.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 2026年度报名专题入口由国家公务员局公告另行发布。
sasac-central-soe-catalog,国务院国资委中央企业名录同步入口,CENTRAL_SOE,NATIONAL,,全国,中央企业名录、集团官网、下属单位官网招聘栏目,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,wap.sasac.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对国务院国资委“央企名录”页面。
enterprise-source-discovery,企业招聘专题与官方招聘子域名发现入口,ENTERPRISE_DISCOVERY,NATIONAL,,全国,企业官网招聘栏目、校园招聘专题页、官方招聘子域名,,,EVERY_7_DAYS,DAILY,NEEDS_REVIEW,,false,只记录发现线索，不直接加入自动抓取；发现后必须经过管理员核验。
provincial-civil-service-cn-bj,北京公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-BJ,北京,公务员主管部门、人事考试网站、年度招录专题网站,https://www.beijing.gov.cn/gongkai/rsxx/gwyzk/index.html,www.beijing.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对北京市人民政府“公务员招考”栏目。
provincial-civil-service-cn-tj,天津公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-TJ,天津,公务员主管部门、人事考试网站、年度招录专题网站,https://www.tj.gov.cn/zwgk/zfxxgkzl/fdzdgknr/zkly/,www.tj.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对天津政务网“招考录用”栏目。
provincial-civil-service-cn-he,河北公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-HE,河北,公务员主管部门、人事考试网站、年度招录专题网站,https://www.hebpta.com.cn/,www.hebpta.com.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 官方公告明确指向河北省人事考试网。
provincial-civil-service-cn-sx,山西公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-SX,山西,公务员主管部门、人事考试网站、年度招录专题网站,https://rst.shanxi.gov.cn/,rst.shanxi.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已按山西省官方公告核对省人力资源和社会保障厅入口。
provincial-civil-service-cn-nm,内蒙古公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-NM,内蒙古,公务员主管部门、人事考试网站、年度招录专题网站,https://www.impta.com.cn/,www.impta.com.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 官方公告明确指向内蒙古人事考试网。
provincial-civil-service-cn-ln,辽宁公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-LN,辽宁,公务员主管部门、人事考试网站、年度招录专题网站,https://www.lnrsks.com/,www.lnrsks.com,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已按辽宁省公务员局公告核对辽宁人事考试网。
provincial-civil-service-cn-jl,吉林公务员考试官方来源档案,PROVINCIAL_CIVIL_SERVICE,PROVINCE,CN-JL,吉林,公务员主管部门、人事考试网站、年度招录专题网站,https://hrss.jl.gov.cn/,hrss.jl.gov.cn,EVERY_7_DAYS,DAILY,VERIFIED,2026-08-11,false,官方入口已核验（2026-08-11）；robots、服务条款、验证码和允许路径尚未逐条完成人工核验，暂不自动采集。 已核对吉林省人力资源和社会保障厅官网公告。
