organization_name,organization_type,industry,official_website,recruitment_website,priority,status
国家电网有限公司,央企,能源电力,,,P0,NEEDS_REVIEW
中国南方电网有限责任公司,央企,能源电力,,,P0,NEEDS_REVIEW
中国移动通信集团有限公司,央企,通信,,,P0,NEEDS_REVIEW
中国电信集团有限公司,央企,通信,,,P0,NEEDS_REVIEW
中国联合网络通信集团有限公司,央企,通信,,,P0,NEEDS_REVIEW
中国石油天然气集团有限公司,央企,石油天然气,,,P0,NEEDS_REVIEW
中国石油化工集团有限公司,央企,石油化工,,,P0,NEEDS_REVIEW
中国海洋石油集团有限公司,央企,石油天然气,,,P0,NEEDS_REVIEW
国家石油天然气管网集团有限公司,央企,石油天然气,,,P0,NEEDS_REVIEW
国家能源投资集团有限责任公司,央企,能源电力,,,P0,NEEDS_REVIEW
中国华能集团有限公司,央企,能源电力,,,P0,NEEDS_REVIEW
中国大唐集团有限公司,央企,能源电力,,,P0,NEEDS_REVIEW
中国华电集团有限公司,央企,能源电力,,,P0,NEEDS_REVIEW
国家电力投资集团有限公司,央企,能源电力,,,P0,NEEDS_REVIEW
中国长江三峡集团有限公司,央企,能源电力,,,P0,NEEDS_REVIEW
中国核工业集团有限公司,央企,核工业,,,P0,NEEDS_REVIEW
中国航天科技集团有限公司,央企,航天,,,P0,NEEDS_REVIEW
中国航天科工集团有限公司,央企,航天,,,P0,NEEDS_REVIEW
中国航空工业集团有限公司,央企,航空,,,P0,NEEDS_REVIEW
中国船舶集团有限公司,央企,船舶制造,,,P0,NEEDS_REVIEW
中国兵器工业集团有限公司,央企,兵器制造,,,P0,NEEDS_REVIEW
中国兵器装备集团有限公司,央企,兵器制造,,,P0,NEEDS_REVIEW
中国电子科技集团有限公司,央企,电子信息,,,P0,NEEDS_REVIEW
中国航空发动机集团有限公司,央企,航空发动机,,,P0,NEEDS_REVIEW
中国电子信息产业集团有限公司,央企,电子信息,,,P0,NEEDS_REVIEW
中国卫星网络集团有限公司,央企,卫星通信,,,P0,NEEDS_REVIEW
中国第一汽车集团有限公司,央企,汽车制造,,,P0,NEEDS_REVIEW
东风汽车集团有限公司,央企,汽车制造,,,P0,NEEDS_REVIEW
中国长安汽车集团有限公司,央企,汽车制造,,,P0,NEEDS_REVIEW
中国中车集团有限公司,央企,轨道交通,,,P0,NEEDS_REVIEW
中国建筑集团有限公司,央企,建筑工程,,,P1,NEEDS_REVIEW
中国铁路工程集团有限公司,央企,基础设施,,,P1,NEEDS_REVIEW
中国铁道建筑集团有限公司,央企,基础设施,,,P1,NEEDS_REVIEW
中国交通建设集团有限公司,央企,基础设施,,,P1,NEEDS_REVIEW
中国电力建设集团有限公司,央企,基础设施,,,P1,NEEDS_REVIEW
中国能源建设集团有限公司,央企,能源工程,,,P1,NEEDS_REVIEW
中国中化控股有限责任公司,央企,化工,,,P1,NEEDS_REVIEW
中粮集团有限公司,央企,食品与农业,,,P1,NEEDS_REVIEW
中国五矿集团有限公司,央企,金属矿产,,,P1,NEEDS_REVIEW
招商局集团有限公司,央企,综合产业,,,P1,NEEDS_REVIEW
华润集团有限公司,央企,综合产业,,,P1,NEEDS_REVIEW
中国远洋海运集团有限公司,央企,航运物流,,,P1,NEEDS_REVIEW
中国商用飞机有限责任公司,央企,航空制造,,,P1,NEEDS_REVIEW
中国物流集团有限公司,央企,物流,,,P1,NEEDS_REVIEW
中国医药集团有限公司,央企,医药健康,,,P1,NEEDS_REVIEW
字节跳动,互联网与科技,互联网与内容,,,P1,NEEDS_REVIEW
腾讯,互联网与科技,互联网与科技,,,P1,NEEDS_REVIEW
阿里巴巴集团,互联网与科技,互联网与电商,,,P1,NEEDS_REVIEW
蚂蚁集团,互联网与科技,金融科技,,,P1,NEEDS_REVIEW
拼多多,互联网与科技,互联网与电商,,,P1,NEEDS_REVIEW
美团,互联网与科技,互联网与生活服务,,,P1,NEEDS_REVIEW
百度,互联网与科技,互联网与人工智能,,,P1,NEEDS_REVIEW
京东集团,互联网与科技,互联网与电商,,,P1,NEEDS_REVIEW
网易,互联网与科技,互联网与内容,,,P1,NEEDS_REVIEW
快手,互联网与科技,互联网与内容,,,P1,NEEDS_REVIEW
滴滴,互联网与科技,互联网与出行,,,P1,NEEDS_REVIEW
小米集团,互联网与科技,消费电子,,,P1,NEEDS_REVIEW
携程集团,互联网与科技,在线旅游,,,P1,NEEDS_REVIEW
哔哩哔哩,互联网与科技,互联网与内容,,,P1,NEEDS_REVIEW
得物,互联网与科技,互联网与电商,,,P1,NEEDS_REVIEW
三六零,互联网与科技,网络安全,,,P1,NEEDS_REVIEW
金蝶,互联网与科技,企业软件,,,P1,NEEDS_REVIEW
深信服,互联网与科技,网络安全,,,P1,NEEDS_REVIEW
科大讯飞,互联网与科技,人工智能,,,P1,NEEDS_REVIEW
华为,互联网与科技,通信与ICT,,,P1,NEEDS_REVIEW
中国工商银行,银行与金融,银行,,,P1,NEEDS_REVIEW
中国农业银行,银行与金融,银行,,,P1,NEEDS_REVIEW
中国银行,银行与金融,银行,,,P1,NEEDS_REVIEW
中国建设银行,银行与金融,银行,,,P1,NEEDS_REVIEW
交通银行,银行与金融,银行,,,P1,NEEDS_REVIEW
中国邮政储蓄银行,银行与金融,银行,,,P1,NEEDS_REVIEW
国家开发银行,银行与金融,政策性银行,,,P1,NEEDS_REVIEW
中国进出口银行,银行与金融,政策性银行,,,P1,NEEDS_REVIEW
中国农业发展银行,银行与金融,政策性银行,,,P1,NEEDS_REVIEW
招商银行,银行与金融,银行,,,P1,NEEDS_REVIEW
中信银行,银行与金融,银行,,,P1,NEEDS_REVIEW
中国光大银行,银行与金融,银行,,,P1,NEEDS_REVIEW
上海浦东发展银行,银行与金融,银行,,,P1,NEEDS_REVIEW
兴业银行,银行与金融,银行,,,P1,NEEDS_REVIEW
平安银行,银行与金融,银行,,,P1,NEEDS_REVIEW
上海汽车集团,汽车与制造,汽车制造,,,P2,NEEDS_REVIEW
广州汽车集团,汽车与制造,汽车制造,,,P2,NEEDS_REVIEW
北京汽车集团,汽车与制造,汽车制造,,,P2,NEEDS_REVIEW
奇瑞汽车,汽车与制造,汽车制造,,,P2,NEEDS_REVIEW
吉利控股集团,汽车与制造,汽车制造,,,P2,NEEDS_REVIEW
比亚迪,汽车与制造,新能源汽车,,,P2,NEEDS_REVIEW
长城汽车,汽车与制造,汽车制造,,,P2,NEEDS_REVIEW
蔚来,汽车与制造,新能源汽车,,,P2,NEEDS_REVIEW
理想汽车,汽车与制造,新能源汽车,,,P2,NEEDS_REVIEW
小鹏汽车,汽车与制造,新能源汽车,,,P2,NEEDS_REVIEW
宁德时代,汽车与制造,新能源电池,,,P2,NEEDS_REVIEW
中兴通讯,汽车与制造,通信与ICT,,,P2,NEEDS_REVIEW
海尔集团,汽车与制造,家电与消费品,,,P2,NEEDS_REVIEW
海信集团,汽车与制造,家电与消费品,,,P2,NEEDS_REVIEW
美的集团,汽车与制造,家电与消费品,,,P2,NEEDS_REVIEW
格力电器,汽车与制造,家电与消费品,,,P2,NEEDS_REVIEW
京东方科技集团,汽车与制造,显示与电子,,,P2,NEEDS_REVIEW
TCL科技集团,汽车与制造,显示与电子,,,P2,NEEDS_REVIEW
顺丰控股,汽车与制造,物流,,,P2,NEEDS_REVIEW
联想集团,汽车与制造,消费电子与ICT,,,P2,NEEDS_REVIEW
