organization_name,category,subcategory,source_type,official_status,website_name,url,normalized_url,province,city,parent_organization,first_discovered_at,last_verified_at,discovery_method,discovered_from_url,status
OPPO,big_company,,official_recruitment_page,official,OPPO招聘 - 加入我们 join us - 校园招聘,https://careers.oppo.com/university/oppo/campus/,https://careers.oppo.com/university/oppo/campus,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://careers.oppo.com/university/oppo/campus/,active
SHEIN,big_company,,official_recruitment_page,official,SHEIN careers,https://careers.shein.cn/Students-%26-Graduates,https://careers.shein.cn/Students-%26-Graduates,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://careers.shein.cn/Students-%26-Graduates,active
vivo,big_company,,official_recruitment_page,official,vivo招聘官方网站,https://career.vivo.com/,https://career.vivo.com/,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://career.vivo.com/,active
中国一汽,big_company,,official_recruitment_page,official,中国一汽招聘,https://faw-zhaopin.hotjob.cn/campusRecruitment,https://faw-zhaopin.hotjob.cn/campusRecruitment,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://faw-zhaopin.hotjob.cn/campusRecruitment,active
京东集团,big_company,,official_recruitment_page,official,京东招聘-首页,https://zhaopin.jd.com/,https://zhaopin.jd.com/,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://zhaopin.jd.com/,active
华为,big_company,,official_recruitment_page,official,校园招聘,https://career.huawei.com/cn/campus-recruitment,https://career.huawei.com/cn/campus-recruitment,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://career.huawei.com/cn/campus-recruitment,active
国家电投,big_company,,official_recruitment_page,official,招聘官网,https://spic2026.iguopin.com/,https://spic2026.iguopin.com/,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://spic2026.iguopin.com/,active
大疆创新,big_company,,official_recruitment_page,official,校园招聘 - DJI 大疆招聘,https://careers.dji.com/zh-CN/campus?source=RM-Banner,https://careers.dji.com/zh-CN/campus,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://careers.dji.com/zh-CN/campus?source=RM-Banner,active
字节跳动,big_company,,official_recruitment_page,official,字节跳动校园招聘,https://jobs.bytedance.com/campus/,https://jobs.bytedance.com/campus,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://jobs.bytedance.com/campus/,active
宁德时代,big_company,,official_recruitment_page,official,宁德时代校招 | 宁德时代社招 | 宁德时代招聘官网,https://talent.catl.com/,https://talent.catl.com/,,,,Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 00:00:00 GMT+0000 (Coordinated Universal Time),playwright_verified_import,https://talent.catl.com/,active
