source_name,url,domain,http_result,content_result,failure_type,redirect_count,javascript_required,security_blocked,timeout,recommended_strategy,next_action
国家公务员考试官方来源档案,https://www.scs.gov.cn/,www.scs.gov.cn,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
国务院国资委中央企业名录,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,wap.sasac.gov.cn,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
中央企业招聘应届高校毕业生信息公开,https://job.mohrss.gov.cn/qyzp/index.jhtml,job.mohrss.gov.cn,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
拼多多集团PDD校园招聘官网,https://careers.pddglobalhr.com/campus/,careers.pddglobalhr.com,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
海尔校园招聘官网,https://wxmaker.haier.net/client/campus/index,wxmaker.haier.net,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
微众银行校园招聘,https://campus.webank.com/,campus.webank.com,REDIRECT_LOOP,EMPTY_BODY,REDIRECT_LOOP,3,false,false,false,MANUAL_ONLY,人工确认最终官方入口
中国移动招聘网站,https://job.10086.cn/,job.10086.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
北京公务员考试官方来源档案,https://www.beijing.gov.cn/gongkai/rsxx/gwyzk/index.html,www.beijing.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
天津公务员考试官方来源档案,https://www.tj.gov.cn/zwgk/zfxxgkzl/fdzdgknr/zkly/,www.tj.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
河北公务员考试官方来源档案,https://www.hebpta.com.cn/,www.hebpta.com.cn,200,EMPTY_BODY,EMPTY_BODY,0,false,false,false,MANUAL_ONLY,人工确认是否需要JavaScript
山西公务员考试官方来源档案,https://rst.shanxi.gov.cn/,rst.shanxi.gov.cn,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
内蒙古公务员考试官方来源档案,https://www.impta.com.cn/,www.impta.com.cn,502,UNKNOWN,502,0,false,false,false,MANUAL_ONLY,按退避规则最多重试1次后转人工
辽宁公务员考试官方来源档案,https://www.lnrsks.com/,www.lnrsks.com,TIMEOUT,UNKNOWN,TIMEOUT,0,false,false,true,MANUAL_ONLY,停止无限重试转人工复核
吉林公务员考试官方来源档案,https://hrss.jl.gov.cn/,hrss.jl.gov.cn,200,VALID_BODY,SUCCESS,0,false,false,false,AUDIT_ONLY,保留人工核验记录未自动发布
